;x;y;cs_area;tissue
0;49.360977;51.265153;1;none
1;12.095755;57.360776;1;epidermis
2;14.389262;43.454687;1;epidermis
3;18.230497;70.481002;1;epidermis
4;18.180892;29.388952;1;epidermis
5;25.545214;81.5721;1;epidermis
6;24.610125;54.479167;1;cortex
7;29.829765;20.110855;1;epidermis
8;29.897269;34.480315;1;epidermis
9;33.115521;72.954321;1;cortex
10;33.921646;39.596943;1;endodermis
11;31.293159;54.161407;1;endodermis
12;36.99632;86.56567;1;epidermis
13;37.471702;68.303994;1;endodermis
14;40.439483;12.254904;1;epidermis
15;36.653067;43.633425;1;red stele
16;35.430982;51.091055;1;red stele
17;35.92773;57.299215;1;red stele
18;38.91301;63.417173;1;red stele
19;39.78804;48.703549;1;red stele
20;39.337067;54.161555;1;red stele
21;48.319962;30.597324;1;endodermis
22;41.239614;58.633524;1;red stele
23;48.115719;23.748322;1;cortex
24;43.322513;36.441885;1;red stele
25;42.745919;45.04712;1;blue stele
26;43.282362;41.332516;1;blue stele
27;51.679279;79.795041;1;cortex
28;48.213101;91.688877;1;epidermis
29;43.827959;53.461696;1;red stele
30;44.98602;49.037137;1;red stele
31;45.37801;67.983844;1;red stele
32;44.713384;62.37213;1;blue stele
33;45.918087;57.79065;1;red stele
34;56.496791;72.223008;1;endodermis
35;48.324247;39.335085;1;blue stele
36;51.417125;11.625642;1;epidermis
37;49.393208;44.853241;1;blue stele
38;48.262166;53.691934;1;red stele
39;49.845567;64.570266;1;blue stele
40;49.211525;59.39012;1;blue stele
41;52.893305;34.514358;1;red stele
42;52.005705;49.680613;1;blue stele
43;53.161;68.792086;1;red stele
44;53.553497;55.005658;1;blue stele
45;54.032615;39.581502;1;blue stele
46;54.988727;61.616018;1;blue stele
47;58.487665;90.971559;1;epidermis
48;54.84953;44.780999;1;blue stele
49;61.834057;15.518009;1;epidermis
50;56.600583;49.258604;1;red stele
51;58.560254;37.140666;1;red stele
52;58.1218;42.983494;1;blue stele
53;60.594207;66.325178;1;red stele
54;58.821107;56.880993;1;blue stele
55;58.959902;52.811942;1;red stele
56;66.17471;36.962776;1;endodermis
57;68.976744;29.810291;1;cortex
58;59.620061;48.043373;1;red stele
59;60.381506;61.716706;1;blue stele
60;62.445845;40.385809;1;red stele
61;67.855843;85.529212;1;epidermis
62;62.903655;45.917344;1;red stele
63;62.701342;50.190828;1;blue stele
64;62.536723;57.489318;1;blue stele
65;70.971198;72.122467;1;cortex
66;63.36702;53.573197;1;red stele
67;65.775442;60.869795;1;red stele
68;66.784562;43.819057;1;red stele
69;70.168484;63.562657;1;endodermis
70;68.053709;56.028364;1;red stele
71;67.838387;49.992653;1;red stele
72;72.620759;17.488621;1;epidermis
73;72.674748;49.923342;1;endodermis
74;78.720092;80.337433;1;epidermis
75;80.591197;24.848186;1;epidermis
76;78.744107;50.843156;1;cortex
77;85.494966;37.54872;1;epidermis
78;85.45879;67.167104;1;epidermis
79;89.988785;52.392137;1;epidermis